product_id,name,category,description,price_sgd,commission_rate,monthly_units_sold,rating
SKU8528433028,Samsung Wireless Earbuds Standard,Electronics Accessories,"Samsung Wireless Earbuds, Standard — a Gadgets item in the Electronics Accessories category.",87.92,0.08,12,3.5
SKU5230183443,Pantene Conditioner 500ml,Personal Care,"Pantene Conditioner, 500ml — a Toiletries & Bath item in the Personal Care category.",10.32,0.18,29,4.0
SKU6729730365,Oreo Instant Coffee 200g,Food & Beverage,"Oreo Instant Coffee, 200g — a Groceries item in the Food & Beverage category.",4.18,0.12,13,4.7
SKU8231364505,Puma Gym Towel Standard,Sports & Lifestyle,"Puma Gym Towel, Standard — a Sports Gear item in the Sports & Lifestyle category.",105.32,0.11,16,3.4
SKU7046448675,Decathlon Water Bottle 1L,Sports & Lifestyle,"Decathlon Water Bottle, 1L — a Sports Gear item in the Sports & Lifestyle category.",116.67,0.13,15,4.3
SKU9965766197,L'Oreal Sunscreen 50ml,Beauty,"L'Oreal Sunscreen, 50ml — a Skincare & Cosmetics item in the Beauty category.",8.74,0.16,14,4.5
SKU2528477072,Decathlon Yoga Mat 4mm,Sports & Lifestyle,"Decathlon Yoga Mat, 4mm — a Sports Gear item in the Sports & Lifestyle category.",126.34,0.13,7,3.8
SKU0689086449,Muji LED Desk Lamp Standard,Home & Living,"Muji LED Desk Lamp, Standard — a Home Essentials item in the Home & Living category.",18.8,0.14,5,4.1
SKU7344804846,Kellogg's Instant Coffee 100g,Food & Beverage,"Kellogg's Instant Coffee, 100g — a Groceries item in the Food & Beverage category.",5.8,0.13,11,3.5
SKU9363753849,Shiseido Lip Balm Standard,Beauty,"Shiseido Lip Balm, Standard — a Skincare & Cosmetics item in the Beauty category.",15.62,0.21,18,3.6
SKU6697464014,Colgate Conditioner 500ml,Personal Care,"Colgate Conditioner, 500ml — a Toiletries & Bath item in the Personal Care category.",7.39,0.15,38,3.8
SKU1707364631,Dettol Laundry Detergent 1.5kg,Home Care,"Dettol Laundry Detergent, 1.5kg — a Cleaning Supplies item in the Home Care category.",5.31,0.15,28,3.9
SKU3644753717,Milo Bottled Water 500ml,Food & Beverage,"Milo Bottled Water, 500ml — a Groceries item in the Food & Beverage category.",7.37,0.12,12,4.2
SKU0576803263,Kellogg's Instant Coffee 200g,Food & Beverage,"Kellogg's Instant Coffee, 200g — a Groceries item in the Food & Beverage category.",3.16,0.08,21,4.2
SKU7805936521,Pantene Shampoo 300ml,Personal Care,"Pantene Shampoo, 300ml — a Toiletries & Bath item in the Personal Care category.",5.04,0.14,30,3.7
SKU0546697323,Cadbury Bottled Water 500ml,Food & Beverage,"Cadbury Bottled Water, 500ml — a Groceries item in the Food & Beverage category.",3.2,0.1,25,4.8
SKU3182306683,Nike Yoga Mat 4mm,Sports & Lifestyle,"Nike Yoga Mat, 4mm — a Sports Gear item in the Sports & Lifestyle category.",57.6,0.12,29,3.3
SKU0829864965,Nescafe Bottled Water 1.5L,Food & Beverage,"Nescafe Bottled Water, 1.5L — a Groceries item in the Food & Beverage category.",7.99,0.07,59,4.5
SKU2121149634,Philips Power Bank 10000mAh,Electronics Accessories,"Philips Power Bank, 10000mAh — a Gadgets item in the Electronics Accessories category.",69.18,0.04,15,4.8
SKU7747584994,Puma Gym Towel Standard,Sports & Lifestyle,"Puma Gym Towel, Standard — a Sports Gear item in the Sports & Lifestyle category.",36.94,0.14,10,4.7
SKU9291875748,Harpic Air Freshener 300ml,Home Care,"Harpic Air Freshener, 300ml — a Cleaning Supplies item in the Home Care category.",9.73,0.1,40,4.6
SKU3008428936,Persil Air Freshener 300ml,Home Care,"Persil Air Freshener, 300ml — a Cleaning Supplies item in the Home Care category.",7.97,0.14,27,4.7
SKU8394486225,IKEA Bath Towel Standard,Home & Living,"IKEA Bath Towel, Standard — a Home Essentials item in the Home & Living category.",39.74,0.09,9,4.6
SKU9988997641,Comfort Laundry Detergent 1.5kg,Home Care,"Comfort Laundry Detergent, 1.5kg — a Cleaning Supplies item in the Home Care category.",4.62,0.11,34,4.4
SKU3227361861,Philips USB Charger 20W,Electronics Accessories,"Philips USB Charger, 20W — a Gadgets item in the Electronics Accessories category.",56.76,0.04,6,4.4
SKU3306844945,Comfort Laundry Detergent 2.5kg,Home Care,"Comfort Laundry Detergent, 2.5kg — a Cleaning Supplies item in the Home Care category.",9.14,0.15,46,4.5
SKU1210580490,IKEA Bedsheet Set King,Home & Living,"IKEA Bedsheet Set, King — a Home Essentials item in the Home & Living category.",41.87,0.13,19,4.8
SKU6702938185,Shiseido Lip Balm Standard,Beauty,"Shiseido Lip Balm, Standard — a Skincare & Cosmetics item in the Beauty category.",29.77,0.18,31,4.9
SKU0158772236,Garnier Lip Balm Standard,Beauty,"Garnier Lip Balm, Standard — a Skincare & Cosmetics item in the Beauty category.",36.24,0.19,24,4.6
SKU6218840657,Milo Chocolate Snack 100g,Food & Beverage,"Milo Chocolate Snack, 100g — a Groceries item in the Food & Beverage category.",7.01,0.13,57,4.6
SKU6029491140,Kellogg's Bottled Water 500ml,Food & Beverage,"Kellogg's Bottled Water, 500ml — a Groceries item in the Food & Beverage category.",3.22,0.1,18,3.2
SKU1416947255,Comfort Dishwashing Liquid 750ml,Home Care,"Comfort Dishwashing Liquid, 750ml — a Cleaning Supplies item in the Home Care category.",7.08,0.13,52,3.2
SKU6392899805,Sony Wireless Earbuds Standard,Electronics Accessories,"Sony Wireless Earbuds, Standard — a Gadgets item in the Electronics Accessories category.",36.76,0.06,7,4.0
SKU0108578252,La Roche-Posay Lip Balm Standard,Beauty,"La Roche-Posay Lip Balm, Standard — a Skincare & Cosmetics item in the Beauty category.",18.59,0.2,15,4.3
SKU8857641203,H&M Home Storage Box Small,Home & Living,"H&M Home Storage Box, Small — a Home Essentials item in the Home & Living category.",12.07,0.15,19,3.6
SKU0376395903,Xiaomi Power Bank 10000mAh,Electronics Accessories,"Xiaomi Power Bank, 10000mAh — a Gadgets item in the Electronics Accessories category.",72.64,0.05,10,3.5
SKU5798668944,Lifebuoy Toothpaste 100g,Personal Care,"Lifebuoy Toothpaste, 100g — a Toiletries & Bath item in the Personal Care category.",11.59,0.14,20,4.3
SKU1221944611,Vim Laundry Detergent 2.5kg,Home Care,"Vim Laundry Detergent, 2.5kg — a Cleaning Supplies item in the Home Care category.",5.9,0.12,24,3.8
SKU8599193589,Kellogg's Chocolate Snack 100g,Food & Beverage,"Kellogg's Chocolate Snack, 100g — a Groceries item in the Food & Beverage category.",5.71,0.1,42,4.6
SKU3520922309,Muji LED Desk Lamp Standard,Home & Living,"Muji LED Desk Lamp, Standard — a Home Essentials item in the Home & Living category.",47.08,0.13,4,4.8
SKU9907227021,Comfort Dishwashing Liquid 500ml,Home Care,"Comfort Dishwashing Liquid, 500ml — a Cleaning Supplies item in the Home Care category.",8.25,0.09,21,4.2
SKU5712990157,Lux Deodorant 150ml,Personal Care,"Lux Deodorant, 150ml — a Toiletries & Bath item in the Personal Care category.",11.3,0.19,41,3.6
SKU8356321282,Adidas Running Shoes Standard,Sports & Lifestyle,"Adidas Running Shoes, Standard — a Sports Gear item in the Sports & Lifestyle category.",54.74,0.14,11,3.6
SKU4811414032,H&M Home Bedsheet Set King,Home & Living,"H&M Home Bedsheet Set, King — a Home Essentials item in the Home & Living category.",33.83,0.09,11,3.8
SKU3681436675,L'Oreal Moisturizer 50ml,Beauty,"L'Oreal Moisturizer, 50ml — a Skincare & Cosmetics item in the Beauty category.",22.89,0.17,6,4.2
SKU5569667576,Muji Bedsheet Set Single,Home & Living,"Muji Bedsheet Set, Single — a Home Essentials item in the Home & Living category.",13.72,0.1,10,4.5
SKU0221710278,La Roche-Posay Lip Balm Standard,Beauty,"La Roche-Posay Lip Balm, Standard — a Skincare & Cosmetics item in the Beauty category.",13.18,0.16,5,4.2
SKU5304202933,Persil Air Freshener 300ml,Home Care,"Persil Air Freshener, 300ml — a Cleaning Supplies item in the Home Care category.",9.85,0.13,33,4.6
SKU0207806619,Neutrogena Sunscreen 50ml,Beauty,"Neutrogena Sunscreen, 50ml — a Skincare & Cosmetics item in the Beauty category.",24.2,0.2,16,3.4
